Country,cases_m1,deaths_m1,cases_f1,deaths_f1,cases_m2,deaths_m2,cases_f2,deaths_f2,cases_m3,deaths_m3,cases_f3,deaths_f3,cases_m_t,cases_f_t,deaths_m_t,deaths_f_t
ANGOLA,445,6,249,2,301,8,145,0,105,13,46,4,851,440,27,6
BOTSWANA,855,0,289,0,619,0,106,0,30,0,17,1,1504,412,0,1
BURKINA_FASO,285,4,143,3,179,12,119,4,91,23,47,18,555,309,39,25
CHAD,331,12,110,4,227,25,71,8,139,36,39,8,697,220,73,20
CONGO,2628,32,1626,22,2757,109,958,36,1041,144,479,64,6426,3063,285,122
ESWATINI,1269,4,1618,3,690,21,677,12,163,31,187,18,2122,2482,56,33
GAMBIA,44,0,29,0,32,2,9,0,10,2,6,0,86,44,4,0
GUINEA,4332,7,2256,1,2003,14,632,1,732,40,323,4,7067,3211,61,6
KENYA,2844,33,1442,14,1537,93,549,30,343,98,154,28,4724,2145,224,72
LIBERIA,441,5,277,5,296,20,122,12,92,23,49,13,829,448,48,30
MAURITIUS,118,0,65,1,70,4,50,0,31,5,21,0,219,136,9,1
MOZAMBIQUE,1714,8,1114,1,599,7,321,3,154,6,102,2,2467,1537,21,6
NAMIBIA,1844,2,2828,1,1053,4,1364,7,148,3,170,6,3045,4362,9,14
NIGER,355,3,198,5,269,17,122,6,170,42,55,16,794,375,62,27
RWANDA,2012,2,1062,1,549,3,332,2,91,7,63,5,2652,1457,12,8
SAO_TOME_PRINCIPE,226,3,212,3,167,1,156,3,71,5,50,0,464,418,9,6
SENEGAL,2754,3,2269,8,1408,27,977,16,1031,73,600,18,5193,3846,103,42
SEYCHELLES,54,0,2,0,60,0,1,0,2,0,2,0,116,5,0,0
SIERRA_LEONE,592,16,622,15,278,33,162,17,113,53,82,25,983,866,102,57
UGANDA,1568,6,560,2,642,8,148,4,67,10,25,6,2277,733,24,12